Satelite,Planeta,Diametro,Periodo_Orbital,imagen
Luna,Tierra,3476,"27d 7h 43,7m",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Full_Moon_Luc_Viatour.jpg/50px-Full_Moon_Luc_Viatour.jpg
Ío,Júpiter,3643,"1d 18h 27,6m",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Iosurface_gal.jpg/50px-Iosurface_gal.jpg
Europa,Júpiter,3122,"3,551181 d",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Europa-moon.jpg/50px-Europa-moon.jpg
Ganímedes,Júpiter,5262,"7d 3h 42,6m",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Moon_Ganymede_by_NOAA.jpg/50px-Moon_Ganymede_by_NOAA.jpg
Calisto,Júpiter,4821,"16,6890184 d",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Callisto%2C_moon_of_Jupiter%2C_NASA.jpg/50px-Callisto%2C_moon_of_Jupiter%2C_NASA.jpg
Titán,Saturno,5162,15d 22h 41m,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Titan_multi_spectral_overlay.jpg/50px-Titan_multi_spectral_overlay.jpg
Tetis,Saturno,1062,"1,888 d",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Saturn%27s_Moon_Tethys_as_seen_from_Voyager_2.jpg/50px-Saturn%27s_Moon_Tethys_as_seen_from_Voyager_2.jpg
Dione,Saturno,1118,"2,736915 d",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Dionean_Linea_PIA08256.jpg/50px-Dionean_Linea_PIA08256.jpg
Rea,Saturno,1529,"4,518 d",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Rhea_hi-res_PIA07763.jpg/50px-Rhea_hi-res_PIA07763.jpg
Jápeto,Saturno,1436,79d 19h 17m,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Iapetus_as_seen_by_the_Cassini_probe_-_20071008.jpg/50px-Iapetus_as_seen_by_the_Cassini_probe_-_20071008.jpg
Mimas,Saturno,416,22 h 37 min,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Mimas_moon.jpg/50px-Mimas_moon.jpg
Encélado,Saturno,499,32 h 53 m,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Enceladusstripes_cassini.jpg/50px-Enceladusstripes_cassini.jpg
Miranda,Urano,472,"1,413 d",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/PIA18185_Miranda%27s_Icy_Face.jpg/50px-PIA18185_Miranda%27s_Icy_Face.jpg
Ariel,Urano,1162,"2,52 d",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Ariel_%28moon%29.jpg/50px-Ariel_%28moon%29.jpg
Umbriel,Urano,1172,"4,144 d",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/PIA00040_Umbrielx2.47.jpg/50px-PIA00040_Umbrielx2.47.jpg
Titania,Urano,1577,"8,706 d",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Titania_%28moon%29_color%2C_cropped.jpg/50px-Titania_%28moon%29_color%2C_cropped.jpg
Oberón,Urano,1523,"13,46 d",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Voyager_2_picture_of_Oberon.jpg/50px-Voyager_2_picture_of_Oberon.jpg
Tritón,Neptuno,2707,-5877 d,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Triton_Voyager_2.jpg/50px-Triton_Voyager_2.jpg
Caronte,Plutón,1207,"6,387 230 d",https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Charon-Neutral-Bright-Release.jpg/50px-Charon-Neutral-Bright-Release.jpg
